"model_name","formula","disp","aic","k","convergence","pdhess","max_gradient","pass_check","delta_aic","rmse","mre","mae","r2","mean_bias"
"muscle_2","P_MUSLIPID ~ poly(DISTELL_TISSUE, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-747.38,6,0,TRUE,0.000168560245174865,TRUE,0,0.447854310386736,0.993843612277472,0.421574287712781,0.0374525575338635,-0.421574287712781
"muscle_3","P_MUSLIPID ~ poly(DISTELL_TISSUE, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-745.85,7,0,TRUE,0.000158844767049983,TRUE,1.52999999999997,0.447854193594659,0.993893362698969,0.421583052720686,0.00078335614829164,-0.421583052720686
"muscle_7","P_MUSLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-745.59,8,0,TRUE,5.86457115946829e-06,TRUE,1.78999999999996,0.447581043427037,0.986021607973922,0.420454491567249,0.0536216247137343,-0.420454491567249
"muscle_1","P_MUSLIPID ~ 1 + (1 | UNIQUE_HAUL) + (1 | YEAR_FAC) + (0 + LENGTH_CM |     SPECIES)","~1",-745.4,5,0,TRUE,6.70811729053256e-07,TRUE,1.98000000000002,0.447847798739727,0.993870138814647,0.421576723969047,0.113972084844929,-0.421576723969047
"muscle_6","P_MUSLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-744.76,7,0,TRUE,0.000118305751586743,TRUE,2.62,0.44776197044251,0.991849953831822,0.421287916682069,0.0559936046320156,-0.421287916682069
"muscle_14","P_MUSLIPID ~ poly(LOG_LW_RESID, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-744.6,9,0,TRUE,8.55619263455676e-05,TRUE,2.77999999999997,0.44761662003671,0.988160600217288,0.420747479347304,0.0541321350036449,-0.420747479347304
"muscle_5","P_MUSLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-744.21,6,0,TRUE,5.43379378104003e-07,TRUE,3.16999999999996,0.447838953074863,0.993789649174702,0.421560894796779,0.0306812165826508,-0.421560894796779
"muscle_4","P_MUSLIPID ~ poly(DISTELL_TISSUE, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~1",-743.95,8,0,TRUE,7.7477559839112e-05,TRUE,3.42999999999995,0.450532764683414,1.00883642426391,0.425053727504906,0.0243749697855643,-0.411220214610073
"muscle_10","P_MUSLIPID ~ poly(DISTELL_TISSUE, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-743.86,8,0,TRUE,0.000161467219201405,TRUE,3.51999999999998,0.447854961223005,0.993894009914539,0.421583609285911,0.000947142187667636,-0.421583609285911
"muscle_13","P_MUSLIPID ~ poly(LOG_LW_RESID, 2) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-743.31,8,0,TRUE,0.000158096317239065,TRUE,4.07000000000005,0.447742478044256,0.991955948719698,0.421285554206103,0.0574832374097123,-0.421285554206103
"muscle_12","P_MUSLIPID ~ poly(LOG_LW_RESID, 1) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-742.4,7,0,TRUE,0.000165743254819217,TRUE,4.98000000000002,0.447826643108286,0.993744521459752,0.421546907471339,0.0329355513493636,-0.421546907471339
"muscle_11","P_MUSLIPID ~ poly(DISTELL_TISSUE, 3) + (1 | UNIQUE_HAUL) + (1 |     YEAR_FAC) + (0 + LENGTH_CM | SPECIES)","~log(LENGTH_CM)",-741.95,9,0,TRUE,5.83410865301337e-05,TRUE,5.42999999999995,0.45159121146641,1.01298419340598,0.426016309244556,0.0243726203259441,-0.410252765628809
